Time[s], Channel 0, Channel 1
0.000000, 0, 0
0.407300, 0, 1
0.407302, 0, 0
0.407508, 0, 1
0.407510, 0, 0
0.407638, 0, 1
0.407640, 0, 0
0.407768, 0, 1
0.407770, 0, 0
0.407950, 0, 1
0.407952, 0, 0
0.408028, 0, 1
0.408030, 0, 0
0.408288, 0, 1
0.408290, 0, 0
0.408340, 0, 1
0.408342, 0, 0
0.408418, 0, 1
0.408420, 0, 0
0.408496, 0, 1
0.408498, 0, 0
0.408626, 0, 1
0.408628, 0, 0
0.408704, 0, 1
0.408706, 0, 0
0.408782, 0, 1
0.408784, 0, 0
0.408860, 0, 1
0.408862, 0, 0
0.408938, 0, 1
0.408940, 0, 0
0.409016, 0, 1
0.409018, 0, 0
0.409120, 0, 1
0.409122, 0, 0
0.409224, 0, 1
0.409226, 0, 0
0.409276, 0, 1
0.409278, 0, 0
0.409328, 0, 1
0.409330, 0, 0
0.409380, 0, 1
0.409382, 0, 0
0.409588, 0, 1
0.409590, 0, 0
2.423245, 0, 1
2.423248, 0, 0
2.423453, 0, 1
2.423455, 0, 0
2.423583, 0, 1
2.423585, 0, 0
2.423713, 0, 1
2.423716, 0, 0
2.423895, 0, 1
2.423897, 0, 0
2.423973, 0, 1
2.423975, 0, 0
2.424233, 0, 1
2.424235, 0, 0
2.424285, 0, 1
2.424287, 0, 0
2.424363, 0, 1
2.424366, 0, 0
2.424441, 0, 1
2.424443, 0, 0
2.424571, 0, 1
2.424574, 0, 0
2.424649, 0, 1
2.424651, 0, 0
2.424727, 0, 1
2.424729, 0, 0
2.424805, 0, 1
2.424807, 0, 0
2.424883, 0, 1
2.424885, 0, 0
2.424961, 0, 1
2.424963, 0, 0
2.425065, 0, 1
2.425067, 0, 0
2.425169, 0, 1
2.425171, 0, 0
2.425221, 0, 1
2.425223, 0, 0
2.425273, 0, 1
2.425275, 0, 0
2.425325, 0, 1
2.425327, 0, 0
2.425533, 0, 1
2.425535, 0, 0
4.439113, 0, 1
4.439115, 0, 0
4.439321, 0, 1
4.439323, 0, 0
4.439451, 0, 1
4.439453, 0, 0
4.439581, 0, 1
4.439583, 0, 0
4.439763, 0, 1
4.439765, 0, 0
4.439841, 0, 1
4.439843, 0, 0
4.440101, 0, 1
4.440103, 0, 0
4.440153, 0, 1
4.440155, 0, 0
4.440231, 0, 1
4.440233, 0, 0
4.440309, 0, 1
4.440311, 0, 0
4.440439, 0, 1
4.440441, 0, 0
4.440517, 0, 1
4.440519, 0, 0
4.440595, 0, 1
4.440597, 0, 0
4.440673, 0, 1
4.440675, 0, 0
4.440751, 0, 1
4.440753, 0, 0
4.440829, 0, 1
4.440831, 0, 0
4.440933, 0, 1
4.440935, 0, 0
4.441037, 0, 1
4.441039, 0, 0
4.441089, 0, 1
4.441091, 0, 0
4.441141, 0, 1
4.441143, 0, 0
4.441193, 0, 1
4.441195, 0, 0
4.441401, 0, 1
4.441403, 0, 0
6.456176, 0, 1
6.456178, 0, 0
6.456384, 0, 1
6.456386, 0, 0
6.456514, 0, 1
6.456516, 0, 0
6.456644, 0, 1
6.456646, 0, 0
6.456826, 0, 1
6.456828, 0, 0
6.456904, 0, 1
6.456906, 0, 0
6.457164, 0, 1
6.457166, 0, 0
6.457216, 0, 1
6.457218, 0, 0
6.457294, 0, 1
6.457296, 0, 0
6.457372, 0, 1
6.457374, 0, 0
6.457502, 0, 1
6.457504, 0, 0
6.457580, 0, 1
6.457582, 0, 0
6.457658, 0, 1
6.457660, 0, 0
6.457736, 0, 1
6.457738, 0, 0
6.457814, 0, 1
6.457816, 0, 0
6.457892, 0, 1
6.457894, 0, 0
6.457996, 0, 1
6.457998, 0, 0
6.458100, 0, 1
6.458102, 0, 0
6.458152, 0, 1
6.458154, 0, 0
6.458204, 0, 1
6.458206, 0, 0
6.458256, 0, 1
6.458258, 0, 0
6.458464, 0, 1
6.458466, 0, 0
6.801641, 0, 1
6.801642, 1, 1
6.802246, 0, 1
6.802247, 1, 1
6.802740, 0, 1
6.802741, 1, 1
6.803525, 0, 1
6.803528, 1, 1
6.803535, 0, 1
6.803543, 1, 1
6.803544, 0, 1
6.803546, 1, 1
6.803548, 0, 1
6.803625, 1, 1
7.806656, 0, 1
7.806682, 1, 1
7.806708, 0, 1
7.806890, 1, 1
7.806916, 0, 1
7.806995, 1, 1
7.807047, 0, 1
7.807151, 1, 1
7.807177, 0, 1
7.807203, 1, 1
7.807229, 0, 1
7.807333, 1, 1
7.807385, 0, 1
7.807411, 1, 1
7.807437, 0, 1
7.807672, 1, 1
7.807698, 0, 1
7.807932, 1, 1
7.807959, 0, 1
7.808193, 1, 1
7.808219, 0, 1
7.808454, 1, 1
7.808480, 0, 1
7.808714, 1, 1
7.808740, 0, 1
7.808975, 1, 1
7.809001, 0, 1
7.809235, 1, 1
7.809261, 0, 1
7.809496, 1, 1
7.809522, 0, 1
7.809756, 1, 1
7.809782, 0, 1
7.809808, 1, 1
7.809834, 0, 1
7.809861, 1, 1
7.809913, 0, 1
7.809939, 1, 1
7.809991, 0, 1
7.810017, 1, 1
7.817777, 1, 0
7.817803, 1, 1
7.817829, 1, 0
7.818011, 1, 1
7.818037, 1, 0
7.818115, 1, 1
7.818141, 1, 0
7.818271, 1, 1
7.818297, 1, 0
7.818323, 1, 1
7.818349, 1, 0
7.818453, 1, 1
7.818557, 1, 0
7.818791, 1, 1
7.818817, 1, 0
7.818843, 1, 1
7.818869, 1, 0
7.818895, 1, 1
7.818921, 1, 0
7.818973, 1, 1
7.868035, 1, 0
7.868061, 1, 1
7.868087, 1, 0
7.868269, 1, 1
7.868295, 1, 0
7.868399, 1, 1
7.868425, 1, 0
7.868529, 1, 1
7.868555, 1, 0
7.868711, 1, 1
7.868763, 1, 0
7.868789, 1, 1
7.868815, 1, 0
7.869049, 1, 1
7.869075, 1, 0
7.869101, 1, 1
7.869127, 1, 0
7.869179, 1, 1
7.869231, 1, 0
7.869257, 1, 1
7.869335, 1, 0
7.869387, 1, 1
7.869413, 1, 0
7.869465, 1, 1
7.869491, 1, 0
7.869543, 1, 1
7.869595, 1, 0
7.869621, 1, 1
7.869647, 1, 0
7.869699, 1, 1
7.869751, 1, 0
7.869777, 1, 1
7.869855, 1, 0
7.869881, 1, 1
7.869959, 1, 0
7.869985, 1, 1
7.870011, 1, 0
7.870037, 1, 1
7.870063, 1, 0
7.870089, 1, 1
7.870115, 1, 0
7.870141, 1, 1
7.870193, 1, 0
7.870349, 1, 1
7.884536, 0, 1
7.884562, 1, 1
7.884588, 0, 1
7.884771, 1, 1
7.884797, 0, 1
7.884875, 1, 1
7.884927, 0, 1
7.885031, 1, 1
7.885057, 0, 1
7.885083, 1, 1
7.885109, 0, 1
7.885214, 1, 1
7.885266, 0, 1
7.885292, 1, 1
7.885318, 0, 1
7.885552, 1, 1
7.885578, 0, 1
7.885604, 1, 1
7.885631, 0, 1
7.885657, 1, 1
7.885683, 0, 1
7.885735, 1, 1
7.885761, 0, 1
7.885813, 1, 1
7.885839, 0, 1
7.885891, 1, 1
7.885969, 0, 1
7.886073, 1, 1
7.886099, 0, 1
7.886152, 1, 1
7.886308, 0, 1
7.886334, 1, 1
7.886360, 0, 1
7.886386, 1, 1
7.886412, 0, 1
7.886438, 1, 1
7.886490, 0, 1
7.886542, 1, 1
7.886621, 0, 1
7.886699, 1, 1
7.886751, 0, 1
7.886777, 1, 1
7.886829, 0, 1
7.886855, 1, 1
7.886881, 0, 1
7.886907, 1, 1
7.886959, 0, 1
7.886985, 1, 1
7.887037, 0, 1
7.887090, 1, 1
7.887142, 0, 1
7.887168, 1, 1
7.887194, 0, 1
7.887298, 1, 1
7.887324, 0, 1
7.887350, 1, 1
7.887402, 0, 1
7.887480, 1, 1
7.887611, 0, 1
7.887637, 1, 1
7.887663, 0, 1
7.887689, 1, 1
7.887793, 0, 1
7.887897, 1, 1
7.918241, 1, 0
7.918267, 1, 1
7.918293, 1, 0
7.918475, 1, 1
7.918501, 1, 0
7.918579, 1, 1
7.918605, 1, 0
7.918735, 1, 1
7.918761, 1, 0
7.918787, 1, 1
7.918813, 1, 0
7.918917, 1, 1
7.919021, 1, 0
7.919255, 1, 1
7.919281, 1, 0
7.919307, 1, 1
7.919333, 1, 0
7.919359, 1, 1
7.919385, 1, 0
7.919437, 1, 1
7.968499, 1, 0
7.968525, 1, 1
7.968551, 1, 0
7.968733, 1, 1
7.968759, 1, 0
7.968863, 1, 1
7.968889, 1, 0
7.968993, 1, 1
7.969019, 1, 0
7.969071, 1, 1
7.969097, 1, 0
7.969175, 1, 1
7.969227, 1, 0
7.969253, 1, 1
7.969279, 1, 0
7.969513, 1, 1
7.969539, 1, 0
7.969565, 1, 1
7.969617, 1, 0
7.969643, 1, 1
7.969695, 1, 0
7.969721, 1, 1
7.969747, 1, 0
7.969773, 1, 1
7.969799, 1, 0
7.969877, 1, 1
7.969929, 1, 0
7.970033, 1, 1
7.970059, 1, 0
7.970111, 1, 1
7.970137, 1, 0
7.970215, 1, 1
7.970267, 1, 0
7.970293, 1, 1
7.970319, 1, 0
7.970371, 1, 1
7.970397, 1, 0
7.970423, 1, 1
7.970449, 1, 0
7.970553, 1, 1
7.970579, 1, 0
7.970605, 1, 1
7.970631, 1, 0
7.970657, 1, 1
7.970761, 1, 0
7.970813, 1, 1
7.985157, 0, 1
7.985183, 1, 1
7.985209, 0, 1
7.985392, 1, 1
7.985418, 0, 1
7.985444, 1, 1
7.985470, 0, 1
7.985496, 1, 1
7.985522, 0, 1
7.985652, 1, 1
7.985678, 0, 1
7.985808, 1, 1
7.985887, 0, 1
7.985913, 1, 1
7.985939, 0, 1
7.986173, 1, 1
7.986199, 0, 1
7.986225, 1, 1
7.986251, 0, 1
7.986434, 1, 1
7.986460, 0, 1
7.986512, 1, 1
7.986564, 0, 1
7.986590, 1, 1
7.986668, 0, 1
7.986694, 1, 1
8.018679, 1, 0
8.018705, 1, 1
8.018731, 1, 0
8.018913, 1, 1
8.018939, 1, 0
8.019017, 1, 1
8.019043, 1, 0
8.019173, 1, 1
8.019199, 1, 0
8.019329, 1, 1
8.019459, 1, 0
8.019693, 1, 1
8.019719, 1, 0
8.019797, 1, 1
8.019823, 1, 0
8.019849, 1, 1
8.068730, 1, 0
8.068756, 1, 1
8.068782, 1, 0
8.068964, 1, 1
8.068990, 1, 0
8.069042, 1, 1
8.069068, 1, 0
8.069094, 1, 1
8.069120, 1, 0
8.069224, 1, 1
8.069250, 1, 0
8.069406, 1, 1
8.069432, 1, 0
8.069484, 1, 1
8.069510, 1, 0
8.069744, 1, 1
8.069770, 1, 0
8.069822, 1, 1
8.069848, 1, 0
8.069900, 1, 1
8.069926, 1, 0
8.070004, 1, 1
8.070030, 1, 0
8.070134, 1, 1
8.070160, 1, 0
8.070212, 1, 1
8.070238, 1, 0
8.070264, 1, 1
8.070290, 1, 0
8.070316, 1, 1
8.070342, 1, 0
8.070524, 1, 1
8.070550, 1, 0
8.070576, 1, 1
8.070602, 1, 0
8.070680, 1, 1
8.070706, 1, 0
8.070758, 1, 1
8.070810, 1, 0
8.070836, 1, 1
8.070862, 1, 0
8.071044, 1, 1
8.071070, 1, 0
8.071304, 1, 1
8.071330, 1, 0
8.071356, 1, 1
8.071434, 1, 0
8.071460, 1, 1
8.071486, 1, 0
8.071564, 1, 1
12.894963, 0, 1
12.894989, 1, 1
12.895015, 0, 1
12.895197, 1, 1
12.895223, 0, 1
12.895249, 1, 1
12.895275, 0, 1
12.895302, 1, 1
12.895328, 0, 1
12.895458, 1, 1
12.895484, 0, 1
12.895510, 1, 1
12.895536, 0, 1
12.895640, 1, 1
12.895666, 0, 1
12.895718, 1, 1
12.895744, 0, 1
12.895979, 1, 1
12.896005, 0, 1
12.896031, 1, 1
12.896083, 0, 1
12.896161, 1, 1
12.896187, 0, 1
12.896239, 1, 1
12.896266, 0, 1
12.896292, 1, 1
12.896318, 0, 1
12.896370, 1, 1
12.896396, 0, 1
12.896448, 1, 1
12.896474, 0, 1
12.896500, 1, 1
12.907820, 1, 0
12.907846, 1, 1
12.907872, 1, 0
12.908054, 1, 1
12.908080, 1, 0
12.908158, 1, 1
12.908184, 1, 0
12.908314, 1, 1
12.908340, 1, 0
12.908366, 1, 1
12.908392, 1, 0
12.908496, 1, 1
12.908522, 1, 0
12.908548, 1, 1
12.908600, 1, 0
12.908834, 1, 1
12.908860, 1, 0
12.908886, 1, 1
12.908912, 1, 0
12.908938, 1, 1
12.908964, 1, 0
12.909016, 1, 1
12.909042, 1, 0
12.909068, 1, 1
12.958234, 1, 0
12.958260, 1, 1
12.958286, 1, 0
12.958468, 1, 1
