Time[s], Channel 0, Channel 1
0.000000, 0, 0
1.504214, 0, 1
1.504216, 0, 0
1.504422, 0, 1
1.504424, 0, 0
1.504552, 0, 1
1.504554, 0, 0
1.504682, 0, 1
1.504684, 0, 0
1.504864, 0, 1
1.504866, 0, 0
1.504942, 0, 1
1.504944, 0, 0
1.505202, 0, 1
1.505204, 0, 0
1.505254, 0, 1
1.505256, 0, 0
1.505332, 0, 1
1.505334, 0, 0
1.505410, 0, 1
1.505412, 0, 0
1.505540, 0, 1
1.505542, 0, 0
1.505618, 0, 1
1.505620, 0, 0
1.505696, 0, 1
1.505698, 0, 0
1.505774, 0, 1
1.505776, 0, 0
1.505852, 0, 1
1.505854, 0, 0
1.505930, 0, 1
1.505932, 0, 0
1.506034, 0, 1
1.506036, 0, 0
1.506138, 0, 1
1.506140, 0, 0
1.506190, 0, 1
1.506192, 0, 0
1.506242, 0, 1
1.506244, 0, 0
1.506294, 0, 1
1.506296, 0, 0
1.506502, 0, 1
1.506504, 0, 0
3.520393, 0, 1
3.520395, 0, 0
3.520601, 0, 1
3.520603, 0, 0
3.520731, 0, 1
3.520733, 0, 0
3.520861, 0, 1
3.520863, 0, 0
3.521043, 0, 1
3.521045, 0, 0
3.521121, 0, 1
3.521123, 0, 0
3.521381, 0, 1
3.521383, 0, 0
3.521433, 0, 1
3.521435, 0, 0
3.521511, 0, 1
3.521513, 0, 0
3.521589, 0, 1
3.521591, 0, 0
3.521719, 0, 1
3.521721, 0, 0
3.521797, 0, 1
3.521799, 0, 0
3.521875, 0, 1
3.521877, 0, 0
3.521953, 0, 1
3.521955, 0, 0
3.522031, 0, 1
3.522033, 0, 0
3.522109, 0, 1
3.522111, 0, 0
3.522213, 0, 1
3.522215, 0, 0
3.522317, 0, 1
3.522319, 0, 0
3.522369, 0, 1
3.522371, 0, 0
3.522421, 0, 1
3.522423, 0, 0
3.522473, 0, 1
3.522475, 0, 0
3.522681, 0, 1
3.522683, 0, 0
5.535767, 0, 1
5.535769, 0, 0
5.535975, 0, 1
5.535977, 0, 0
5.536105, 0, 1
5.536107, 0, 0
5.536235, 0, 1
5.536237, 0, 0
5.536417, 0, 1
5.536419, 0, 0
5.536495, 0, 1
5.536497, 0, 0
5.536755, 0, 1
5.536757, 0, 0
5.536807, 0, 1
5.536809, 0, 0
5.536885, 0, 1
5.536887, 0, 0
5.536963, 0, 1
5.536965, 0, 0
5.537093, 0, 1
5.537095, 0, 0
5.537171, 0, 1
5.537173, 0, 0
5.537249, 0, 1
5.537251, 0, 0
5.537327, 0, 1
5.537329, 0, 0
5.537405, 0, 1
5.537407, 0, 0
5.537483, 0, 1
5.537485, 0, 0
5.537587, 0, 1
5.537588, 0, 0
5.537691, 0, 1
5.537693, 0, 0
5.537743, 0, 1
5.537745, 0, 0
5.537795, 0, 1
5.537797, 0, 0
5.537847, 0, 1
5.537849, 0, 0
5.538055, 0, 1
5.538057, 0, 0
7.550802, 0, 1
7.550804, 0, 0
7.551010, 0, 1
7.551012, 0, 0
7.551140, 0, 1
7.551142, 0, 0
7.551270, 0, 1
7.551272, 0, 0
7.551452, 0, 1
7.551454, 0, 0
7.551530, 0, 1
7.551532, 0, 0
7.551790, 0, 1
7.551792, 0, 0
7.551842, 0, 1
7.551844, 0, 0
7.551920, 0, 1
7.551922, 0, 0
7.551998, 0, 1
7.552000, 0, 0
7.552128, 0, 1
7.552130, 0, 0
7.552206, 0, 1
7.552208, 0, 0
7.552284, 0, 1
7.552286, 0, 0
7.552362, 0, 1
7.552364, 0, 0
7.552440, 0, 1
7.552442, 0, 0
7.552518, 0, 1
7.552520, 0, 0
7.552622, 0, 1
7.552624, 0, 0
7.552726, 0, 1
7.552728, 0, 0
7.552778, 0, 1
7.552780, 0, 0
7.552830, 0, 1
7.552832, 0, 0
7.552882, 0, 1
7.552884, 0, 0
7.553090, 0, 1
7.553092, 0, 0
9.583960, 0, 1
9.583962, 0, 0
9.584168, 0, 1
9.584169, 0, 0
9.584298, 0, 1
9.584300, 0, 0
9.584428, 0, 1
9.584430, 0, 0
9.584610, 0, 1
9.584612, 0, 0
9.584688, 0, 1
9.584690, 0, 0
9.584948, 0, 1
9.584950, 0, 0
9.585000, 0, 1
9.585001, 0, 0
9.585078, 0, 1
9.585080, 0, 0
9.585156, 0, 1
9.585158, 0, 0
9.585286, 0, 1
9.585288, 0, 0
9.585364, 0, 1
9.585366, 0, 0
9.585442, 0, 1
9.585444, 0, 0
9.585520, 0, 1
9.585522, 0, 0
9.585598, 0, 1
9.585600, 0, 0
9.585676, 0, 1
9.585678, 0, 0
9.585780, 0, 1
9.585782, 0, 0
9.585884, 0, 1
9.585886, 0, 0
9.585936, 0, 1
9.585938, 0, 0
9.585988, 0, 1
9.585989, 0, 0
9.586040, 0, 1
9.586042, 0, 0
9.586248, 0, 1
9.586250, 0, 0
9.640396, 0, 1
9.640397, 0, 0
10.182160, 0, 1
10.182161, 0, 0
10.218551, 0, 1
10.218552, 0, 0
10.285397, 0, 1
10.285398, 0, 0
11.618391, 0, 1
11.618393, 0, 0
11.618599, 0, 1
11.618601, 0, 0
11.618729, 0, 1
11.618731, 0, 0
11.618859, 0, 1
11.618861, 0, 0
11.619041, 0, 1
11.619043, 0, 0
11.619119, 0, 1
11.619121, 0, 0
11.620393, 0, 1
11.620395, 0, 0
11.620445, 0, 1
11.620447, 0, 0
11.620523, 0, 1
11.620525, 0, 0
11.620601, 0, 1
11.620603, 0, 0
11.620731, 0, 1
11.620733, 0, 0
11.620809, 0, 1
11.620811, 0, 0
11.620887, 0, 1
11.620889, 0, 0
11.620965, 0, 1
11.620967, 0, 0
11.621043, 0, 1
11.621045, 0, 0
11.621121, 0, 1
11.621123, 0, 0
11.621225, 0, 1
11.621227, 0, 0
11.621329, 0, 1
11.621331, 0, 0
11.621381, 0, 1
11.621383, 0, 0
11.621433, 0, 1
11.621435, 0, 0
11.621485, 0, 1
11.621487, 0, 0
11.621693, 0, 1
11.621695, 0, 0
13.650223, 0, 1
13.650225, 0, 0
13.650431, 0, 1
13.650433, 0, 0
13.650561, 0, 1
13.650563, 0, 0
13.650691, 0, 1
13.650693, 0, 0
13.651913, 0, 1
13.651915, 0, 0
13.651991, 0, 1
13.651993, 0, 0
13.652251, 0, 1
13.652253, 0, 0
13.652303, 0, 1
13.652305, 0, 0
13.652381, 0, 1
13.652383, 0, 0
13.652459, 0, 1
13.652461, 0, 0
13.652589, 0, 1
13.652591, 0, 0
13.652667, 0, 1
13.652669, 0, 0
13.652745, 0, 1
13.652747, 0, 0
13.652823, 0, 1
13.652825, 0, 0
13.652901, 0, 1
13.652903, 0, 0
13.652979, 0, 1
13.652981, 0, 0
13.653083, 0, 1
13.653085, 0, 0
13.653187, 0, 1
13.653189, 0, 0
13.653239, 0, 1
13.653241, 0, 0
13.653291, 0, 1
13.653293, 0, 0
13.653343, 0, 1
13.653345, 0, 0
13.653551, 0, 1
13.653553, 0, 0
15.687020, 0, 1
15.687022, 0, 0
15.687228, 0, 1
15.687230, 0, 0
15.687358, 0, 1
15.687360, 0, 0
15.687488, 0, 1
15.687490, 0, 0
15.687670, 0, 1
15.687672, 0, 0
15.687748, 0, 1
15.687750, 0, 0
15.688008, 0, 1
15.688010, 0, 0
15.688060, 0, 1
15.688062, 0, 0
15.688138, 0, 1
15.688140, 0, 0
15.688216, 0, 1
15.688218, 0, 0
15.688346, 0, 1
15.688348, 0, 0
15.688424, 0, 1
15.688426, 0, 0
15.688502, 0, 1
15.688504, 0, 0
15.688580, 0, 1
15.688582, 0, 0
15.688658, 0, 1
15.688660, 0, 0
15.688736, 0, 1
15.688738, 0, 0
15.688840, 0, 1
15.688842, 0, 0
15.688944, 0, 1
15.688946, 0, 0
15.688996, 0, 1
15.688998, 0, 0
15.689048, 0, 1
15.689050, 0, 0
15.689100, 0, 1
15.689102, 0, 0
15.689308, 0, 1
15.689310, 0, 0
17.711883, 0, 1
17.711886, 0, 0
17.712091, 0, 1
17.712094, 0, 0
17.712221, 0, 1
17.712224, 0, 0
17.712351, 0, 1
17.712354, 0, 0
17.712534, 0, 1
17.712536, 0, 0
17.712612, 0, 1
17.712614, 0, 0
17.712872, 0, 1
17.712874, 0, 0
17.712924, 0, 1
17.712926, 0, 0
17.713002, 0, 1
17.713004, 0, 0
17.713080, 0, 1
17.713082, 0, 0
17.713210, 0, 1
17.713212, 0, 0
17.713288, 0, 1
17.713289, 0, 0
17.713366, 0, 1
17.713368, 0, 0
17.713444, 0, 1
17.713446, 0, 0
17.713522, 0, 1
17.713524, 0, 0
17.713600, 0, 1
17.713602, 0, 0
17.713704, 0, 1
17.713706, 0, 0
17.713808, 0, 1
17.713810, 0, 0
17.713860, 0, 1
17.713862, 0, 0
17.713912, 0, 1
17.713914, 0, 0
17.713964, 0, 1
17.713966, 0, 0
17.714172, 0, 1
17.714173, 0, 0
19.738697, 0, 1
19.738700, 0, 0
19.738905, 0, 1
19.738907, 0, 0
19.739035, 0, 1
19.739037, 0, 0
19.739165, 0, 1
19.739167, 0, 0
19.739347, 0, 1
19.739349, 0, 0
19.739425, 0, 1
19.739427, 0, 0
19.739685, 0, 1
19.739687, 0, 0
19.739737, 0, 1
19.739739, 0, 0
19.739815, 0, 1
19.739817, 0, 0
19.739893, 0, 1
19.739895, 0, 0
19.740023, 0, 1
19.740025, 0, 0
19.740101, 0, 1
