Time[s], Channel 0, Channel 1, Channel 2
0.0000000, 0, 1, 1
4.6691278, 1, 1, 1
4.6691298, 1, 1, 0
4.6691300, 1, 0, 0
4.8374693, 0, 0, 0
4.8374857, 1, 0, 0
4.9669893, 0, 0, 0
4.9670786, 0, 1, 0
4.9670966, 0, 1, 1
8.4680715, 0, 1, 0
8.6676772, 0, 1, 1
8.8676753, 0, 1, 0
9.0676748, 0, 1, 1
9.2676730, 0, 1, 0
9.4676725, 0, 1, 1
10.1679705, 1, 1, 1
10.3676666, 0, 1, 1
10.5676655, 1, 1, 1
10.7676643, 0, 1, 1
10.9676632, 1, 1, 1
11.1676620, 0, 1, 1
11.8680380, 0, 0, 1
12.0676568, 0, 1, 1
12.2676556, 0, 0, 1
12.4676544, 0, 1, 1
12.6676533, 0, 0, 1
12.8676521, 0, 1, 1
13.5681651, 0, 1, 0
13.5681654, 1, 1, 0
13.5681663, 1, 0, 0
13.7676471, 0, 0, 0
13.7676474, 0, 1, 1
13.9676464, 0, 1, 0
13.9676466, 1, 1, 0
13.9676469, 1, 0, 0
14.1676448, 0, 0, 0
14.1676450, 0, 1, 0
14.1676451, 0, 1, 1
14.3676434, 0, 1, 0
14.3676436, 1, 1, 0
14.3676439, 1, 0, 0
14.5676424, 0, 0, 0
14.5676427, 0, 1, 1
14.8687417, 0, 1, 0
14.8688531, 1, 1, 0
14.8688642, 0, 1, 0
14.8688752, 1, 1, 0
14.8688857, 0, 1, 0
14.8689874, 0, 1, 1
14.9696491, 0, 0, 1
14.9696602, 1, 0, 1
14.9696706, 0, 0, 1
14.9696813, 0, 1, 1
14.9696916, 1, 1, 1
14.9697020, 0, 1, 1
14.9697230, 1, 1, 1
14.9697334, 0, 1, 1
14.9697441, 0, 0, 1
14.9697545, 1, 0, 1
14.9697648, 0, 0, 1
14.9697755, 0, 1, 1
14.9697858, 1, 1, 1
14.9697962, 0, 1, 1
14.9698069, 0, 0, 1
14.9698173, 1, 0, 1
14.9698276, 0, 0, 1
14.9698487, 1, 0, 1
14.9698591, 0, 0, 1
14.9698802, 1, 0, 1
14.9698905, 0, 0, 1
14.9699139, 0, 1, 1
14.9859555, 1, 1, 1
14.9859574, 1, 1, 0
14.9859576, 1, 0, 0
15.1162720, 0, 0, 0
15.1163613, 0, 1, 0
15.1163793, 0, 1, 1
