Time[s], Channel 0, Channel 1
0.000000, 1, 1
1.828989, 0, 1
1.829015, 1, 1
1.829041, 0, 1
1.829224, 1, 1
1.829250, 0, 1
1.829276, 1, 1
1.829302, 0, 1
1.829328, 1, 1
1.829354, 0, 1
1.829484, 1, 1
1.829510, 0, 1
1.829641, 1, 1
1.829693, 0, 1
1.829745, 1, 1
1.829771, 0, 1
1.830005, 1, 1
1.830031, 0, 1
1.830057, 1, 1
1.830110, 0, 1
1.830266, 1, 1
1.830292, 0, 1
1.830396, 1, 1
1.830474, 0, 1
1.830526, 1, 1
1.860257, 1, 0
1.860283, 1, 1
1.860309, 1, 0
1.860491, 1, 1
1.860517, 1, 0
1.860595, 1, 1
1.860621, 1, 0
1.860751, 1, 1
1.860777, 1, 0
1.860907, 1, 1
1.860959, 1, 0
1.860985, 1, 1
1.861037, 1, 0
1.861271, 1, 1
1.861297, 1, 0
1.861375, 1, 1
1.861401, 1, 0
1.861427, 1, 1
1.861479, 1, 0
1.861505, 1, 1
1.911244, 1, 0
1.911270, 1, 1
1.911296, 1, 0
1.911478, 1, 1
1.911504, 1, 0
1.911530, 1, 1
1.911556, 1, 0
1.911582, 1, 1
1.911608, 1, 0
1.911738, 1, 1
1.911764, 1, 0
1.911894, 1, 1
1.911972, 1, 0
1.911998, 1, 1
1.912024, 1, 0
1.912258, 1, 1
1.912284, 1, 0
1.912310, 1, 1
1.912336, 1, 0
1.912518, 1, 1
1.912544, 1, 0
1.912596, 1, 1
1.912648, 1, 0
1.912674, 1, 1
1.912752, 1, 0
1.912778, 1, 1
1.961944, 1, 0
1.961970, 1, 1
1.961996, 1, 0
1.962178, 1, 1
1.962204, 1, 0
1.962256, 1, 1
1.962282, 1, 0
1.962308, 1, 1
1.962334, 1, 0
1.962438, 1, 1
1.962464, 1, 0
1.962620, 1, 1
1.962646, 1, 0
1.962698, 1, 1
1.962724, 1, 0
1.962958, 1, 1
1.962984, 1, 0
1.963010, 1, 1
1.963036, 1, 0
1.963114, 1, 1
1.963140, 1, 0
1.963218, 1, 1
1.963244, 1, 0
1.963348, 1, 1
1.963374, 1, 0
1.963478, 1, 1
1.963504, 1, 0
1.963530, 1, 1
1.963556, 1, 0
1.963582, 1, 1
1.963608, 1, 0
1.963738, 1, 1
1.963764, 1, 0
1.963790, 1, 1
1.964024, 1, 0
1.964050, 1, 1
1.964284, 1, 0
1.964518, 1, 1
1.964544, 1, 0
1.964596, 1, 1
1.964648, 1, 0
1.964726, 1, 1
1.964752, 1, 0
1.964778, 1, 1
1.966656, 0, 0
1.966657, 1, 1
2.417440, 1, 0
2.417466, 1, 1
2.417492, 1, 0
2.417674, 1, 1
2.417700, 1, 0
2.417752, 1, 1
2.417778, 1, 0
2.417804, 1, 1
2.417830, 1, 0
2.417934, 1, 1
2.417960, 1, 0
2.418116, 1, 1
2.418142, 1, 0
2.418194, 1, 1
2.418220, 1, 0
2.418454, 1, 1
2.418480, 1, 0
2.418506, 1, 1
2.418532, 1, 0
2.418610, 1, 1
2.418636, 1, 0
2.418714, 1, 1
2.418740, 1, 0
2.418844, 1, 1
2.418870, 1, 0
2.418974, 1, 1
2.419000, 1, 0
2.419026, 1, 1
2.419052, 1, 0
2.419078, 1, 1
2.419104, 1, 0
2.419234, 1, 1
2.419260, 1, 0
2.419286, 1, 1
2.419338, 1, 0
2.419494, 1, 1
2.419520, 1, 0
2.419754, 1, 1
2.419780, 1, 0
2.420014, 1, 1
2.420040, 1, 0
2.420066, 1, 1
2.420118, 1, 0
2.420144, 1, 1
2.420170, 1, 0
2.420222, 1, 1
2.420248, 1, 0
2.420274, 1, 1
2.925039, 1, 0
2.925065, 1, 1
2.925091, 1, 0
2.925273, 1, 1
2.925299, 1, 0
2.925351, 1, 1
2.925377, 1, 0
2.925403, 1, 1
2.925429, 1, 0
2.925533, 1, 1
2.925559, 1, 0
2.925715, 1, 1
2.925741, 1, 0
2.925793, 1, 1
2.925819, 1, 0
2.926053, 1, 1
2.926079, 1, 0
2.926105, 1, 1
2.926131, 1, 0
2.926209, 1, 1
2.926235, 1, 0
2.926313, 1, 1
2.926339, 1, 0
2.926443, 1, 1
2.926469, 1, 0
2.926573, 1, 1
2.926599, 1, 0
2.926625, 1, 1
2.926651, 1, 0
2.926677, 1, 1
2.926703, 1, 0
2.926833, 1, 1
2.926859, 1, 0
2.926911, 1, 1
2.926989, 1, 0
2.927093, 1, 1
2.927119, 1, 0
2.927353, 1, 1
2.927379, 1, 0
2.927613, 1, 1
2.927639, 1, 0
2.927691, 1, 1
2.927743, 1, 0
2.927769, 1, 1
2.927795, 1, 0
2.927821, 1, 1
2.927847, 1, 0
2.927873, 1, 1
3.433107, 1, 0
3.433133, 1, 1
3.433159, 1, 0
3.433341, 1, 1
3.433367, 1, 0
3.433419, 1, 1
3.433445, 1, 0
3.433471, 1, 1
3.433497, 1, 0
3.433601, 1, 1
3.433627, 1, 0
3.433783, 1, 1
3.433809, 1, 0
3.433861, 1, 1
3.433887, 1, 0
3.434121, 1, 1
3.434147, 1, 0
3.434173, 1, 1
3.434199, 1, 0
3.434277, 1, 1
3.434303, 1, 0
3.434381, 1, 1
3.434407, 1, 0
3.434511, 1, 1
3.434537, 1, 0
3.434641, 1, 1
3.434667, 1, 0
3.434693, 1, 1
3.434719, 1, 0
3.434745, 1, 1
3.434771, 1, 0
3.434901, 1, 1
3.434927, 1, 0
3.435005, 1, 1
3.435083, 1, 0
3.435161, 1, 1
3.435187, 1, 0
3.435421, 1, 1
3.435447, 1, 0
3.435681, 1, 1
3.435707, 1, 0
3.435785, 1, 1
3.435811, 1, 0
3.435863, 1, 1
3.435915, 1, 0
3.435941, 1, 1
3.939953, 1, 0
3.939979, 1, 1
3.940005, 1, 0
3.940187, 1, 1
3.940213, 1, 0
3.940265, 1, 1
3.940291, 1, 0
3.940317, 1, 1
3.940343, 1, 0
3.940447, 1, 1
3.940473, 1, 0
3.940629, 1, 1
3.940655, 1, 0
3.940707, 1, 1
3.940733, 1, 0
3.940967, 1, 1
3.940993, 1, 0
3.941019, 1, 1
3.941045, 1, 0
3.941123, 1, 1
3.941149, 1, 0
3.941227, 1, 1
3.941253, 1, 0
3.941357, 1, 1
3.941383, 1, 0
3.941487, 1, 1
3.941513, 1, 0
3.941539, 1, 1
3.941565, 1, 0
3.941591, 1, 1
3.941617, 1, 0
3.941747, 1, 1
3.941773, 1, 0
3.941799, 1, 1
3.941851, 1, 0
3.941877, 1, 1
3.941903, 1, 0
3.941929, 1, 1
3.941955, 1, 0
3.942007, 1, 1
3.942033, 1, 0
3.942267, 1, 1
3.942293, 1, 0
3.942527, 1, 1
3.942553, 1, 0
3.942579, 1, 1
3.942631, 1, 0
3.942683, 1, 1
3.942761, 1, 0
3.942787, 1, 1
4.426192, 0, 1
4.426218, 1, 1
4.426244, 0, 1
4.426426, 1, 1
4.426452, 0, 1
4.426478, 1, 1
4.426504, 0, 1
4.426531, 1, 1
4.426557, 0, 1
4.426687, 1, 1
4.426713, 0, 1
4.426739, 1, 1
4.426765, 0, 1
4.426869, 1, 1
4.426895, 0, 1
4.426947, 1, 1
4.426973, 0, 1
4.427208, 1, 1
4.427234, 0, 1
4.427286, 1, 1
4.427312, 0, 1
4.427390, 1, 1
4.427416, 0, 1
4.427468, 1, 1
4.427495, 0, 1
4.427599, 1, 1
4.427625, 0, 1
4.427677, 1, 1
4.427703, 0, 1
4.427729, 1, 1
4.447553, 1, 0
4.447579, 1, 1
4.447605, 1, 0
4.447787, 1, 1
4.447813, 1, 0
4.447865, 1, 1
4.447891, 1, 0
4.447917, 1, 1
4.447943, 1, 0
4.448047, 1, 1
4.448073, 1, 0
4.448229, 1, 1
4.448255, 1, 0
4.448307, 1, 1
4.448333, 1, 0
4.448567, 1, 1
4.448593, 1, 0
4.448619, 1, 1
4.448645, 1, 0
4.448723, 1, 1
4.448749, 1, 0
4.448827, 1, 1
4.448853, 1, 0
4.448957, 1, 1
4.448983, 1, 0
4.449087, 1, 1
4.449113, 1, 0
4.449139, 1, 1
4.449165, 1, 0
4.449191, 1, 1
4.449217, 1, 0
4.449347, 1, 1
4.449373, 1, 0
4.449425, 1, 1
4.449451, 1, 0
4.449477, 1, 1
4.449555, 1, 0
4.449607, 1, 1
4.449633, 1, 0
4.449867, 1, 1
4.449893, 1, 0
4.450127, 1, 1
4.450153, 1, 0
4.450205, 1, 1
4.450231, 1, 0
4.450361, 1, 1
4.627207, 0, 1
4.627442, 1, 1
4.627468, 0, 1
4.627702, 1, 1
4.627728, 0, 1
4.627963, 1, 1
4.627989, 0, 1
4.628223, 1, 1
4.628249, 0, 1
4.628484, 1, 1
4.628510, 0, 1
4.628744, 1, 1
4.628771, 0, 1
4.629005, 1, 1
4.629031, 0, 1
4.629266, 1, 1
4.629292, 0, 1
4.629526, 1, 1
4.629552, 0, 1
4.629787, 1, 1
4.629813, 0, 1
4.630047, 1, 1
4.630073, 0, 1
4.630308, 1, 1
4.630334, 0, 1
4.630568, 1, 1
4.630594, 0, 1
4.630829, 1, 1
4.630855, 0, 1
4.631089, 1, 1
4.631115, 0, 1
4.631350, 1, 1
4.648207, 0, 1
4.648442, 1, 1
4.648468, 0, 1
4.648702, 1, 1
4.648728, 0, 1
4.648963, 1, 1
4.648989, 0, 1
4.649223, 1, 1
4.649249, 0, 1
4.649484, 1, 1
4.649510, 0, 1
4.649744, 1, 1
4.649771, 0, 1
4.650005, 1, 1
4.650031, 0, 1
4.650266, 1, 1
4.650292, 0, 1
4.650526, 1, 1
4.650552, 0, 1
4.650787, 1, 1
4.650813, 0, 1
4.651047, 1, 1
4.651073, 0, 1
4.651308, 1, 1
4.651334, 0, 1
4.651568, 1, 1
4.651594, 0, 1
4.651829, 1, 1
4.651855, 0, 1
4.652089, 1, 1
4.652115, 0, 1
4.652350, 1, 1
4.669312, 0, 1
4.669546, 1, 1
4.669572, 0, 1
4.669807, 1, 1
4.669833, 0, 1
4.670067, 1, 1
4.670093, 0, 1
4.670328, 1, 1
4.670354, 0, 1
4.670588, 1, 1
4.670614, 0, 1
4.670849, 1, 1
4.670875, 0, 1
4.671109, 1, 1
4.671135, 0, 1
4.671370, 1, 1
4.671396, 0, 1
4.671630, 1, 1
4.671656, 0, 1
4.671891, 1, 1
4.671917, 0, 1
4.672151, 1, 1
4.672178, 0, 1
4.672412, 1, 1
4.672438, 0, 1
4.672673, 1, 1
4.672699, 0, 1
4.672933, 1, 1
4.672959, 0, 1
4.673194, 1, 1
4.673220, 0, 1
4.673454, 1, 1
4.690207, 0, 1
4.690442, 1, 1
4.690468, 0, 1
4.690702, 1, 1
4.690728, 0, 1
4.690963, 1, 1
4.690989, 0, 1
4.691223, 1, 1
4.691249, 0, 1
4.691484, 1, 1
4.691510, 0, 1
4.691744, 1, 1
4.691771, 0, 1
4.692005, 1, 1
4.692031, 0, 1
4.692266, 1, 1
4.692292, 0, 1
4.692526, 1, 1
4.692552, 0, 1
4.692787, 1, 1
4.692813, 0, 1
4.693047, 1, 1
4.693073, 0, 1
4.693308, 1, 1
4.693334, 0, 1
4.693568, 1, 1
4.693594, 0, 1
4.693829, 1, 1
4.693855, 0, 1
4.694089, 1, 1
4.694115, 0, 1
4.694350, 1, 1
4.711259, 0, 1
4.711494, 1, 1
4.711520, 0, 1
4.711754, 1, 1
4.711780, 0, 1
4.712015, 1, 1
4.712041, 0, 1
4.712276, 1, 1
4.712302, 0, 1
4.712536, 1, 1
4.712562, 0, 1
4.712797, 1, 1
4.712823, 0, 1
4.713057, 1, 1
4.713083, 0, 1
4.713318, 1, 1
4.713344, 0, 1
4.713578, 1, 1
4.713604, 0, 1
4.713839, 1, 1
4.713865, 0, 1
4.714099, 1, 1
4.714125, 0, 1
4.714360, 1, 1
4.714386, 0, 1
4.714620, 1, 1
4.714646, 0, 1
4.714881, 1, 1
4.714907, 0, 1
4.715142, 1, 1
4.715168, 0, 1
4.715402, 1, 1
4.732207, 0, 1
4.732442, 1, 1
4.732468, 0, 1
4.732702, 1, 1
4.732728, 0, 1
4.732963, 1, 1
4.732989, 0, 1
4.733223, 1, 1
4.733249, 0, 1
4.733484, 1, 1
4.733510, 0, 1
4.733745, 1, 1
4.733771, 0, 1
4.734005, 1, 1
4.734031, 0, 1
4.734266, 1, 1
4.734292, 0, 1
4.734526, 1, 1
4.734552, 0, 1
4.734787, 1, 1
4.734813, 0, 1
4.735047, 1, 1
4.735073, 0, 1
4.735308, 1, 1
4.735334, 0, 1
4.735568, 1, 1
4.735594, 0, 1
4.735829, 1, 1
4.735855, 0, 1
4.736089, 1, 1
4.736115, 0, 1
4.736350, 1, 1
4.753311, 0, 1
4.753546, 1, 1
4.753572, 0, 1
4.753807, 1, 1
4.753833, 0, 1
4.754067, 1, 1
4.754093, 0, 1
4.754328, 1, 1
4.754354, 0, 1
4.754588, 1, 1
4.754614, 0, 1
4.754849, 1, 1
4.754875, 0, 1
4.755109, 1, 1
4.755135, 0, 1
4.755370, 1, 1
4.755396, 0, 1
4.755630, 1, 1
4.755656, 0, 1
4.755891, 1, 1
4.755917, 0, 1
4.756151, 1, 1
4.756178, 0, 1
4.756412, 1, 1
4.756438, 0, 1
4.756673, 1, 1
4.756699, 0, 1
4.756933, 1, 1
4.756959, 0, 1
4.757194, 1, 1
4.757220, 0, 1
4.757454, 1, 1
4.774207, 0, 1
4.774442, 1, 1
4.774468, 0, 1
4.774702, 1, 1
4.774728, 0, 1
4.774963, 1, 1
4.774989, 0, 1
4.775223, 1, 1
4.775249, 0, 1
4.775484, 1, 1
4.775510, 0, 1
4.775745, 1, 1
4.775771, 0, 1
4.776005, 1, 1
4.776031, 0, 1
4.776266, 1, 1
4.776292, 0, 1
4.776526, 1, 1
4.776552, 0, 1
4.776787, 1, 1
4.776813, 0, 1
4.777047, 1, 1
4.777073, 0, 1
4.777308, 1, 1
4.777334, 0, 1
4.777568, 1, 1
4.777594, 0, 1
4.777829, 1, 1
4.777855, 0, 1
4.778089, 1, 1
4.778115, 0, 1
4.778350, 1, 1
4.795233, 0, 1
4.795468, 1, 1
4.795494, 0, 1
4.795728, 1, 1
4.795754, 0, 1
4.795989, 1, 1
4.796015, 0, 1
4.796249, 1, 1
4.796276, 0, 1
4.796510, 1, 1
4.796536, 0, 1
4.796771, 1, 1
4.796797, 0, 1
4.797031, 1, 1
4.797057, 0, 1
4.797292, 1, 1
4.797318, 0, 1
4.797552, 1, 1
4.797578, 0, 1
4.797813, 1, 1
4.797839, 0, 1
4.798073, 1, 1
4.798099, 0, 1
4.798334, 1, 1
4.798360, 0, 1
4.798594, 1, 1
4.798620, 0, 1
4.798855, 1, 1
4.798881, 0, 1
4.799115, 1, 1
4.799142, 0, 1
4.799376, 1, 1
4.816207, 0, 1
4.816442, 1, 1
4.816468, 0, 1
4.816702, 1, 1
4.816728, 0, 1
4.816963, 1, 1
4.816989, 0, 1
4.817223, 1, 1
4.817249, 0, 1
4.817484, 1, 1
4.817510, 0, 1
4.817745, 1, 1
4.817771, 0, 1
4.818005, 1, 1
4.818031, 0, 1
4.818266, 1, 1
4.818292, 0, 1
4.818526, 1, 1
4.818552, 0, 1
4.818787, 1, 1
4.818813, 0, 1
4.819047, 1, 1
4.819073, 0, 1
4.819308, 1, 1
4.819334, 0, 1
4.819568, 1, 1
4.819594, 0, 1
4.819829, 1, 1
4.819855, 0, 1
4.820089, 1, 1
4.820115, 0, 1
4.820350, 1, 1
4.837207, 0, 1
4.837442, 1, 1
4.837468, 0, 1
4.837702, 1, 1
4.837728, 0, 1
4.837963, 1, 1
4.837989, 0, 1
4.838223, 1, 1
4.838249, 0, 1
4.838484, 1, 1
4.838510, 0, 1
4.838745, 1, 1
4.838771, 0, 1
4.839005, 1, 1
4.839031, 0, 1
4.839266, 1, 1
4.839292, 0, 1
4.839526, 1, 1
4.839552, 0, 1
4.839787, 1, 1
4.839813, 0, 1
4.840047, 1, 1
4.840073, 0, 1
4.840308, 1, 1
4.840334, 0, 1
4.840568, 1, 1
4.840594, 0, 1
4.840829, 1, 1
4.840855, 0, 1
4.841089, 1, 1
4.841115, 0, 1
4.841350, 1, 1
4.858338, 0, 1
4.858572, 1, 1
4.858598, 0, 1
4.858833, 1, 1
4.858859, 0, 1
4.859093, 1, 1
4.859119, 0, 1
4.859354, 1, 1
4.859380, 0, 1
4.859614, 1, 1
4.859640, 0, 1
4.859875, 1, 1
4.859901, 0, 1
4.860135, 1, 1
4.860161, 0, 1
4.860396, 1, 1
4.860422, 0, 1
4.860656, 1, 1
4.860682, 0, 1
4.860917, 1, 1
4.860943, 0, 1
4.861178, 1, 1
4.861204, 0, 1
4.861438, 1, 1
4.861464, 0, 1
4.861699, 1, 1
4.861725, 0, 1
4.861959, 1, 1
4.861985, 0, 1
4.862220, 1, 1
4.862246, 0, 1
4.862480, 1, 1
4.879207, 0, 1
4.879442, 1, 1
4.879468, 0, 1
4.879702, 1, 1
4.879728, 0, 1
4.879963, 1, 1
4.879989, 0, 1
4.880223, 1, 1
4.880249, 0, 1
4.880484, 1, 1
4.880510, 0, 1
4.880745, 1, 1
4.880771, 0, 1
4.881005, 1, 1
4.881031, 0, 1
4.881266, 1, 1
4.881292, 0, 1
4.881526, 1, 1
4.881552, 0, 1
4.881787, 1, 1
4.881813, 0, 1
4.882047, 1, 1
4.882073, 0, 1
4.882308, 1, 1
4.882334, 0, 1
4.882568, 1, 1
4.882594, 0, 1
4.882829, 1, 1
4.882855, 0, 1
4.883089, 1, 1
4.883115, 0, 1
4.883350, 1, 1
4.900338, 0, 1
4.900572, 1, 1
4.900598, 0, 1
4.900833, 1, 1
4.900859, 0, 1
4.901093, 1, 1
4.901119, 0, 1
4.901354, 1, 1
4.901380, 0, 1
4.901614, 1, 1
4.901640, 0, 1
4.901875, 1, 1
4.901901, 0, 1
4.902135, 1, 1
4.902161, 0, 1
4.902396, 1, 1
4.902422, 0, 1
4.902656, 1, 1
4.902682, 0, 1
4.902917, 1, 1
4.902943, 0, 1
4.903178, 1, 1
4.903204, 0, 1
4.903438, 1, 1
4.903464, 0, 1
4.903699, 1, 1
4.903725, 0, 1
4.903959, 1, 1
4.903985, 0, 1
4.904220, 1, 1
4.904246, 0, 1
4.904480, 1, 1
4.921364, 0, 1
4.921598, 1, 1
4.921624, 0, 1
4.921859, 1, 1
4.921885, 0, 1
4.922119, 1, 1
4.922145, 0, 1
4.922380, 1, 1
4.922406, 0, 1
4.922640, 1, 1
4.922666, 0, 1
4.922901, 1, 1
4.922927, 0, 1
4.923161, 1, 1
4.923187, 0, 1
4.923422, 1, 1
4.923448, 0, 1
4.923682, 1, 1
4.923709, 0, 1
4.923943, 1, 1
4.923969, 0, 1
4.924204, 1, 1
4.924230, 0, 1
4.924464, 1, 1
4.924490, 0, 1
4.924725, 1, 1
4.924751, 0, 1
4.924985, 1, 1
4.925011, 0, 1
4.925246, 1, 1
4.925272, 0, 1
4.925506, 1, 1
4.942207, 0, 1
4.942442, 1, 1
4.942468, 0, 1
4.942702, 1, 1
4.942728, 0, 1
4.942963, 1, 1
4.942989, 0, 1
4.943223, 1, 1
4.943249, 0, 1
4.943484, 1, 1
4.943510, 0, 1
4.943745, 1, 1
4.943771, 0, 1
4.944005, 1, 1
4.944031, 0, 1
4.944266, 1, 1
4.944292, 0, 1
4.944526, 1, 1
4.944552, 0, 1
4.944787, 1, 1
4.944813, 0, 1
4.945047, 1, 1
4.945073, 0, 1
4.945308, 1, 1
4.945334, 0, 1
4.945568, 1, 1
4.945594, 0, 1
4.945829, 1, 1
4.945855, 0, 1
4.946089, 1, 1
4.946115, 0, 1
4.946350, 1, 1
4.956063, 1, 0
4.956089, 1, 1
4.956115, 1, 0
4.956297, 1, 1
4.956323, 1, 0
4.956375, 1, 1
4.956401, 1, 0
4.956427, 1, 1
4.956453, 1, 0
4.956557, 1, 1
4.956583, 1, 0
4.956739, 1, 1
4.956765, 1, 0
4.956817, 1, 1
4.956843, 1, 0
4.957077, 1, 1
4.957103, 1, 0
4.957129, 1, 1
4.957155, 1, 0
4.957233, 1, 1
4.957259, 1, 0
4.957337, 1, 1
4.957363, 1, 0
4.957467, 1, 1
4.957493, 1, 0
4.957597, 1, 1
4.957623, 1, 0
4.957649, 1, 1
4.957675, 1, 0
4.957701, 1, 1
4.957727, 1, 0
4.957857, 1, 1
4.957883, 1, 0
4.957909, 1, 1
4.957935, 1, 0
4.957987, 1, 1
4.958013, 1, 0
4.958065, 1, 1
4.958091, 1, 0
4.958117, 1, 1
4.958143, 1, 0
4.958377, 1, 1
4.958403, 1, 0
4.958637, 1, 1
4.958663, 1, 0
4.958689, 1, 1
4.958715, 1, 0
4.958793, 1, 1
4.958819, 1, 0
4.958871, 1, 1
4.963340, 0, 1
4.963575, 1, 1
4.963601, 0, 1
4.963835, 1, 1
4.963861, 0, 1
4.964096, 1, 1
4.964122, 0, 1
4.964356, 1, 1
4.964382, 0, 1
4.964617, 1, 1
4.964643, 0, 1
4.964877, 1, 1
4.964903, 0, 1
4.965138, 1, 1
4.965164, 0, 1
4.965398, 1, 1
4.965424, 0, 1
4.965659, 1, 1
4.965685, 0, 1
4.965919, 1, 1
4.965945, 0, 1
4.966180, 1, 1
4.966206, 0, 1
4.966441, 1, 1
4.966467, 0, 1
4.966701, 1, 1
4.966727, 0, 1
4.966962, 1, 1
4.966988, 0, 1
4.967222, 1, 1
4.967248, 0, 1
4.967483, 1, 1
5.065344, 0, 1
5.065370, 1, 1
5.065396, 0, 1
5.065578, 1, 1
5.065604, 0, 1
5.065630, 1, 1
5.065656, 0, 1
5.065682, 1, 1
5.065708, 0, 1
5.065839, 1, 1
5.065865, 0, 1
5.065891, 1, 1
5.065917, 0, 1
5.066021, 1, 1
5.066047, 0, 1
5.066099, 1, 1
5.066125, 0, 1
5.066360, 1, 1
5.066386, 0, 1
5.066438, 1, 1
5.066464, 0, 1
5.066542, 1, 1
5.066568, 0, 1
5.066620, 1, 1
5.066646, 0, 1
5.066751, 1, 1
5.066777, 0, 1
5.066829, 1, 1
5.066855, 0, 1
5.066881, 1, 1
5.108606, 1, 0
5.108632, 1, 1
5.108658, 1, 0
5.108840, 1, 1
5.108866, 1, 0
5.108944, 1, 1
5.108970, 1, 0
5.109100, 1, 1
