Time[s], Channel 0, Channel 1, Channel 2
-5.1437107, 0, 0, 0
-0.1307455, 1, 0, 0
-0.1305907, 1, 0, 1
-0.1305906, 1, 0, 0
-0.1305904, 1, 0, 1
-0.1305893, 1, 0, 0
-0.1305892, 1, 0, 1
-0.1305889, 1, 0, 0
-0.1305888, 1, 0, 1
-0.1300006, 1, 0, 0
-0.1299577, 1, 0, 1
0.0000000, 0, 0, 1
0.0000885, 0, 1, 1
0.0001008, 0, 1, 0
0.0001188, 0, 1, 1
3.5013086, 0, 1, 0
3.7010596, 0, 1, 1
3.7010607, 0, 1, 0
3.7010608, 0, 1, 1
3.9009885, 0, 1, 0
4.1010561, 0, 1, 1
4.1010562, 0, 1, 0
4.1010566, 0, 1, 1
4.1010567, 0, 1, 0
4.1010568, 0, 1, 1
4.3009856, 0, 1, 0
4.5010531, 0, 1, 1
4.5010532, 0, 1, 0
4.5010544, 0, 1, 1
4.5010546, 0, 1, 0
4.5010547, 0, 1, 1
5.2012824, 1, 1, 1
5.4009777, 0, 1, 1
5.6009763, 1, 1, 1
5.8009749, 0, 1, 1
6.0009735, 1, 1, 1
6.2009720, 0, 1, 1
6.9012762, 0, 0, 1
7.1009656, 0, 1, 1
7.3009642, 0, 0, 1
7.5009627, 0, 1, 1
7.7009614, 0, 0, 1
7.9009599, 0, 1, 1
8.6013652, 0, 1, 0
8.6013672, 1, 1, 0
8.6013676, 1, 0, 0
8.8009537, 0, 0, 0
8.8009539, 0, 1, 0
8.8010208, 0, 1, 1
8.8010209, 0, 1, 0
8.8010231, 0, 1, 1
8.8010232, 0, 1, 0
8.8010235, 0, 1, 1
8.8010236, 0, 1, 0
8.8010238, 0, 1, 1
9.0009521, 0, 1, 0
9.0009523, 1, 1, 0
9.0009525, 1, 0, 0
9.2009508, 0, 0, 0
9.2009511, 0, 1, 0
9.2010206, 0, 1, 1
9.2010207, 0, 1, 0
9.2010208, 0, 1, 1
9.2010209, 0, 1, 0
9.2010210, 0, 1, 1
9.2010211, 0, 1, 0
9.2010212, 0, 1, 1
9.4009492, 0, 1, 0
9.4009494, 1, 1, 0
9.4009497, 1, 0, 0
9.6009479, 0, 0, 0
9.6009482, 0, 1, 0
9.6010178, 0, 1, 1
12.8028590, 0, 0, 1
12.8032317, 0, 0, 0
12.8129964, 0, 0, 1
12.8129965, 0, 0, 0
12.8129968, 0, 0, 1
12.8129970, 0, 0, 0
12.8129971, 0, 0, 1
14.8135383, 0, 1, 1
14.8136402, 0, 1, 0
14.8156515, 1, 1, 0
14.8156625, 0, 1, 0
14.8156732, 1, 1, 0
14.8156841, 0, 1, 0
14.8158541, 0, 1, 1
14.8158542, 0, 1, 0
14.8158544, 0, 1, 1
14.8158545, 0, 1, 0
14.8158546, 0, 1, 1
14.8158560, 0, 1, 0
14.8158561, 0, 1, 1
14.8263748, 0, 0, 1
14.8263859, 1, 0, 1
14.8263962, 0, 0, 1
14.8264069, 0, 1, 1
14.8264173, 1, 1, 1
14.8264276, 0, 1, 1
14.8264486, 1, 1, 1
14.8264590, 0, 1, 1
14.8264697, 0, 0, 1
14.8264800, 1, 0, 1
14.8264904, 0, 0, 1
14.8265011, 0, 1, 1
14.8265114, 1, 1, 1
14.8265217, 0, 1, 1
14.8265325, 0, 0, 1
14.8265428, 1, 0, 1
14.8265531, 0, 0, 1
14.8265742, 1, 0, 1
14.8265845, 0, 0, 1
14.8266056, 1, 0, 1
14.8266159, 0, 0, 1
14.8266389, 1, 0, 1
14.8266493, 0, 0, 1
