Time[s], Channel 0, Channel 1
0.000000, 1, 1
0.555037, 0, 1
0.555063, 1, 1
0.555089, 0, 1
0.555271, 1, 1
0.555297, 0, 1
0.555323, 1, 1
0.555349, 0, 1
0.555375, 1, 1
0.555401, 0, 1
0.555532, 1, 1
0.555558, 0, 1
0.555584, 1, 1
0.555610, 0, 1
0.555714, 1, 1
0.555740, 0, 1
0.555792, 1, 1
0.555818, 0, 1
0.556053, 1, 1
0.556079, 0, 1
0.556131, 1, 1
0.556157, 0, 1
0.556235, 1, 1
0.556261, 0, 1
0.556313, 1, 1
0.556339, 0, 1
0.556444, 1, 1
0.556470, 0, 1
0.556522, 1, 1
0.556548, 0, 1
0.556574, 1, 1
0.592072, 1, 0
0.592098, 1, 1
0.592124, 1, 0
0.592306, 1, 1
0.592332, 1, 0
0.592410, 1, 1
0.592436, 1, 0
0.592566, 1, 1
0.592592, 1, 0
0.592618, 1, 1
0.592644, 1, 0
0.592748, 1, 1
0.592774, 1, 0
0.592800, 1, 1
0.592852, 1, 0
0.593086, 1, 1
0.593112, 1, 0
0.593138, 1, 1
0.593164, 1, 0
0.593190, 1, 1
0.593216, 1, 0
0.593268, 1, 1
0.593294, 1, 0
0.593320, 1, 1
0.642252, 1, 0
0.642278, 1, 1
0.642304, 1, 0
0.642486, 1, 1
0.642512, 1, 0
0.642564, 1, 1
0.642590, 1, 0
0.642616, 1, 1
0.642642, 1, 0
0.642746, 1, 1
0.642772, 1, 0
0.642928, 1, 1
0.642954, 1, 0
0.643006, 1, 1
0.643032, 1, 0
0.643266, 1, 1
0.643292, 1, 0
0.643370, 1, 1
0.643396, 1, 0
0.643422, 1, 1
0.643448, 1, 0
0.643526, 1, 1
0.643552, 1, 0
0.643656, 1, 1
0.643682, 1, 0
0.643760, 1, 1
0.643812, 1, 0
0.643890, 1, 1
0.643916, 1, 0
0.644046, 1, 1
0.644072, 1, 0
0.644098, 1, 1
0.644332, 1, 0
0.644358, 1, 1
0.644592, 1, 0
0.644826, 1, 1
0.644852, 1, 0
0.644956, 1, 1
0.644982, 1, 0
0.645034, 1, 1
0.692380, 1, 0
0.692406, 1, 1
0.692432, 1, 0
0.692614, 1, 1
0.692640, 1, 0
0.692718, 1, 1
0.692744, 1, 0
0.692770, 1, 1
0.692796, 1, 0
0.692874, 1, 1
0.692900, 1, 0
0.692952, 1, 1
0.692978, 1, 0
0.693056, 1, 1
0.693082, 1, 0
0.693134, 1, 1
0.693160, 1, 0
0.693394, 1, 1
0.693420, 1, 0
0.693446, 1, 1
0.693472, 1, 0
0.693498, 1, 1
0.693524, 1, 0
0.693602, 1, 1
0.693628, 1, 0
0.693654, 1, 1
0.693680, 1, 0
0.693732, 1, 1
0.693758, 1, 0
0.693810, 1, 1
0.693836, 1, 0
0.693914, 1, 1
0.693940, 1, 0
0.694018, 1, 1
0.694044, 1, 0
0.694122, 1, 1
0.694148, 1, 0
0.694174, 1, 1
0.694200, 1, 0
0.694226, 1, 1
0.694252, 1, 0
0.694304, 1, 1
0.694356, 1, 0
0.694434, 1, 1
0.694460, 1, 0
0.694694, 1, 1
0.694720, 1, 0
0.694746, 1, 1
0.694798, 1, 0
0.694824, 1, 1
0.694850, 1, 0
0.694876, 1, 1
0.694980, 1, 0
0.695214, 1, 1
0.695240, 1, 0
0.695474, 1, 1
0.695500, 1, 0
0.695734, 1, 1
0.695760, 1, 0
0.695838, 1, 1
0.695864, 1, 0
0.695994, 1, 1
0.696020, 1, 0
0.696072, 1, 1
0.696098, 1, 0
0.696124, 1, 1
0.696280, 1, 0
0.696306, 1, 1
0.696540, 1, 0
0.696566, 1, 1
0.696800, 1, 0
0.696930, 1, 1
0.696956, 1, 0
0.697008, 1, 1
0.697060, 1, 0
0.697086, 1, 1
0.697112, 1, 0
0.697294, 1, 1
0.697320, 1, 0
0.697554, 1, 1
0.697580, 1, 0
0.697632, 1, 1
0.697658, 1, 0
0.697736, 1, 1
0.697788, 1, 0
0.697814, 1, 1
2.170121, 0, 1
2.170147, 1, 1
2.170173, 0, 1
2.170355, 1, 1
2.170382, 0, 1
2.170408, 1, 1
2.170434, 0, 1
2.170460, 1, 1
2.170486, 0, 1
2.170616, 1, 1
2.170642, 0, 1
