Time[s], Channel 0, Channel 1
0.000000, 1, 1
2.425986, 0, 1
2.426012, 1, 1
2.426038, 0, 1
2.426221, 1, 1
2.426247, 0, 1
2.426273, 1, 1
2.426299, 0, 1
2.426325, 1, 1
2.426351, 0, 1
2.426481, 1, 1
2.426507, 0, 1
2.426638, 1, 1
2.426690, 0, 1
2.426742, 1, 1
2.426768, 0, 1
2.427002, 1, 1
2.427029, 0, 1
2.427055, 1, 1
2.427107, 0, 1
2.427263, 1, 1
2.427289, 0, 1
2.427393, 1, 1
2.427471, 0, 1
2.427524, 1, 1
2.473130, 1, 0
2.473156, 1, 1
2.473182, 1, 0
2.473364, 1, 1
2.473390, 1, 0
2.473468, 1, 1
2.473494, 1, 0
2.473624, 1, 1
2.473650, 1, 0
2.473780, 1, 1
2.473832, 1, 0
2.473858, 1, 1
2.473910, 1, 0
2.474144, 1, 1
2.475054, 1, 0
2.475132, 1, 1
2.475158, 1, 0
2.475184, 1, 1
2.475236, 1, 0
2.475262, 1, 1
2.525157, 1, 0
2.525183, 1, 1
2.525209, 1, 0
2.525391, 1, 1
2.525417, 1, 0
2.525443, 1, 1
2.525469, 1, 0
2.525495, 1, 1
2.525521, 1, 0
2.525651, 1, 1
2.525677, 1, 0
2.525807, 1, 1
2.525885, 1, 0
2.525911, 1, 1
2.525937, 1, 0
2.526171, 1, 1
2.526197, 1, 0
2.526223, 1, 1
2.526249, 1, 0
2.526431, 1, 1
2.526457, 1, 0
2.526509, 1, 1
2.526561, 1, 0
2.526587, 1, 1
2.526665, 1, 0
2.526691, 1, 1
2.575883, 1, 0
2.575909, 1, 1
2.575935, 1, 0
2.576117, 1, 1
2.576143, 1, 0
2.576195, 1, 1
2.576221, 1, 0
2.576247, 1, 1
2.576273, 1, 0
2.576377, 1, 1
2.576403, 1, 0
2.576559, 1, 1
2.576585, 1, 0
2.576637, 1, 1
2.576663, 1, 0
2.576897, 1, 1
2.576923, 1, 0
2.576949, 1, 1
2.576975, 1, 0
2.577053, 1, 1
2.577079, 1, 0
2.577157, 1, 1
2.577183, 1, 0
2.577287, 1, 1
2.577313, 1, 0
2.577417, 1, 1
2.577443, 1, 0
2.577469, 1, 1
2.577521, 1, 0
2.577677, 1, 1
2.577703, 1, 0
2.577729, 1, 1
2.577963, 1, 0
2.577989, 1, 1
2.578223, 1, 0
2.578457, 1, 1
2.578483, 1, 0
2.578561, 1, 1
2.578587, 1, 0
2.578665, 1, 1
2.578691, 1, 0
2.578717, 1, 1
2.705017, 0, 1
2.705043, 1, 1
2.705069, 0, 1
2.705252, 1, 1
2.705278, 0, 1
2.705304, 1, 1
2.705330, 0, 1
2.705356, 1, 1
2.705382, 0, 1
2.705512, 1, 1
2.705538, 0, 1
2.705564, 1, 1
2.705590, 0, 1
2.705695, 1, 1
2.705721, 0, 1
2.705773, 1, 1
2.705799, 0, 1
2.706033, 1, 1
2.706059, 0, 1
2.706111, 1, 1
2.706137, 0, 1
2.706216, 1, 1
2.706242, 0, 1
2.706294, 1, 1
2.706320, 0, 1
2.706424, 1, 1
2.706450, 0, 1
2.706502, 1, 1
2.706528, 0, 1
2.706554, 1, 1
2.727827, 1, 0
2.727853, 1, 1
2.727879, 1, 0
2.728061, 1, 1
2.728087, 1, 0
2.728165, 1, 1
2.728191, 1, 0
2.728321, 1, 1
2.728347, 1, 0
2.728373, 1, 1
2.728399, 1, 0
2.728503, 1, 1
2.728529, 1, 0
2.728555, 1, 1
2.728607, 1, 0
2.728841, 1, 1
2.728867, 1, 0
2.728893, 1, 1
2.728919, 1, 0
2.728945, 1, 1
2.728971, 1, 0
2.729023, 1, 1
2.729049, 1, 0
2.729075, 1, 1
2.778605, 1, 0
2.778631, 1, 1
2.778657, 1, 0
2.778839, 1, 1
2.778865, 1, 0
2.778917, 1, 1
2.778943, 1, 0
2.778969, 1, 1
2.778995, 1, 0
2.779099, 1, 1
2.779125, 1, 0
2.779281, 1, 1
2.779307, 1, 0
2.779359, 1, 1
2.779385, 1, 0
2.779619, 1, 1
2.779645, 1, 0
2.779671, 1, 1
2.779697, 1, 0
2.779775, 1, 1
2.779801, 1, 0
2.779879, 1, 1
2.779905, 1, 0
2.780009, 1, 1
2.780035, 1, 0
2.780139, 1, 1
2.780165, 1, 0
2.780191, 1, 1
2.780243, 1, 0
2.780399, 1, 1
2.780425, 1, 0
2.780659, 1, 1
2.780685, 1, 0
2.780919, 1, 1
2.780945, 1, 0
2.781179, 1, 1
2.781205, 1, 0
2.781257, 1, 1
2.781309, 1, 0
2.781387, 1, 1
2.781413, 1, 0
2.781439, 1, 1
2.827642, 1, 0
2.827668, 1, 1
2.827694, 1, 0
2.827876, 1, 1
2.827902, 1, 0
2.827980, 1, 1
2.828006, 1, 0
2.828032, 1, 1
2.828058, 1, 0
2.828136, 1, 1
2.828162, 1, 0
2.828214, 1, 1
2.828240, 1, 0
2.828318, 1, 1
2.828344, 1, 0
2.828396, 1, 1
2.828422, 1, 0
2.828656, 1, 1
2.828682, 1, 0
2.828708, 1, 1
2.828734, 1, 0
2.828760, 1, 1
2.828786, 1, 0
2.828864, 1, 1
2.828890, 1, 0
2.828916, 1, 1
2.828942, 1, 0
2.828994, 1, 1
2.829020, 1, 0
2.829072, 1, 1
2.829098, 1, 0
2.829176, 1, 1
2.829202, 1, 0
2.829280, 1, 1
2.829306, 1, 0
2.829384, 1, 1
2.829410, 1, 0
2.829436, 1, 1
2.829462, 1, 0
2.829488, 1, 1
2.829514, 1, 0
2.829566, 1, 1
2.829618, 1, 0
2.829696, 1, 1
2.829722, 1, 0
2.829956, 1, 1
2.829982, 1, 0
2.830034, 1, 1
2.830060, 1, 0
2.830086, 1, 1
2.830112, 1, 0
2.830138, 1, 1
2.830242, 1, 0
2.830476, 1, 1
2.830502, 1, 0
2.830736, 1, 1
2.830762, 1, 0
2.830996, 1, 1
2.831022, 1, 0
2.831048, 1, 1
2.831100, 1, 0
2.831256, 1, 1
2.831282, 1, 0
2.831334, 1, 1
2.831360, 1, 0
2.831386, 1, 1
2.831542, 1, 0
2.831776, 1, 1
2.831802, 1, 0
2.832036, 1, 1
2.832062, 1, 0
2.832192, 1, 1
2.832218, 1, 0
2.832270, 1, 1
2.832322, 1, 0
2.832348, 1, 1
2.832374, 1, 0
2.832556, 1, 1
2.832582, 1, 0
2.832816, 1, 1
2.832842, 1, 0
2.832894, 1, 1
2.832920, 1, 0
2.832998, 1, 1
2.833050, 1, 0
2.833076, 1, 1
3.029974, 1, 0
3.030000, 1, 1
3.030026, 1, 0
3.030208, 1, 1
3.030234, 1, 0
3.030286, 1, 1
3.030312, 1, 0
3.030338, 1, 1
3.030364, 1, 0
3.030468, 1, 1
3.030494, 1, 0
3.030650, 1, 1
