Time[s], Channel 0, Channel 1
0.000000, 1, 1
0.508982, 0, 1
0.509008, 1, 1
0.509034, 0, 1
0.509216, 1, 1
0.509242, 0, 1
0.509268, 1, 1
0.509294, 0, 1
0.509321, 1, 1
0.509347, 0, 1
0.509477, 1, 1
0.509503, 0, 1
0.509529, 1, 1
0.509555, 0, 1
0.509659, 1, 1
0.509685, 0, 1
0.509737, 1, 1
0.509763, 0, 1
0.509998, 1, 1
0.510024, 0, 1
0.510076, 1, 1
0.510102, 0, 1
0.510180, 1, 1
0.510206, 0, 1
0.510258, 1, 1
0.510285, 0, 1
0.510389, 1, 1
0.510415, 0, 1
0.510467, 1, 1
0.510493, 0, 1
0.510519, 1, 1
0.546796, 1, 0
0.546822, 1, 1
0.546848, 1, 0
0.547030, 1, 1
0.547056, 1, 0
0.547134, 1, 1
0.547160, 1, 0
0.547290, 1, 1
0.547316, 1, 0
0.547342, 1, 1
0.547368, 1, 0
0.547472, 1, 1
0.547498, 1, 0
0.547524, 1, 1
0.547576, 1, 0
0.547810, 1, 1
0.547836, 1, 0
0.547862, 1, 1
0.547888, 1, 0
0.547914, 1, 1
0.547940, 1, 0
0.547992, 1, 1
0.548018, 1, 0
0.548044, 1, 1
0.597288, 1, 0
0.597314, 1, 1
0.597340, 1, 0
0.597522, 1, 1
0.597548, 1, 0
0.597600, 1, 1
0.597626, 1, 0
0.597652, 1, 1
0.597678, 1, 0
0.597782, 1, 1
0.597808, 1, 0
0.597964, 1, 1
0.597990, 1, 0
0.598042, 1, 1
0.598068, 1, 0
0.598302, 1, 1
0.598328, 1, 0
0.598458, 1, 1
0.598484, 1, 0
0.598562, 1, 1
0.598588, 1, 0
0.598692, 1, 1
0.598718, 1, 0
0.598796, 1, 1
0.598848, 1, 0
0.598874, 1, 1
0.598926, 1, 0
0.599082, 1, 1
0.599108, 1, 0
0.599134, 1, 1
0.599368, 1, 0
0.599394, 1, 1
0.599628, 1, 0
0.599862, 1, 1
0.599888, 1, 0
0.599914, 1, 1
0.599966, 1, 0
0.600070, 1, 1
0.647988, 1, 0
0.648014, 1, 1
0.648040, 1, 0
0.648222, 1, 1
0.648248, 1, 0
0.648326, 1, 1
0.648352, 1, 0
0.648378, 1, 1
0.648404, 1, 0
0.648482, 1, 1
0.648508, 1, 0
0.648560, 1, 1
0.648586, 1, 0
0.648664, 1, 1
0.648690, 1, 0
0.648742, 1, 1
0.648768, 1, 0
0.649002, 1, 1
0.649028, 1, 0
