Time[s], Channel 0, Channel 1
0.000000, 1, 1
2.072181, 0, 1
2.072207, 1, 1
2.072233, 0, 1
2.072415, 1, 1
2.072441, 0, 1
2.072467, 1, 1
2.072493, 0, 1
2.072519, 1, 1
2.072546, 0, 1
2.072676, 1, 1
2.072702, 0, 1
2.072728, 1, 1
2.072754, 0, 1
2.072858, 1, 1
2.072884, 0, 1
2.072936, 1, 1
2.072962, 0, 1
2.073197, 1, 1
2.073223, 0, 1
2.073275, 1, 1
2.073301, 0, 1
2.073379, 1, 1
2.073405, 0, 1
2.073457, 1, 1
2.073484, 0, 1
2.073588, 1, 1
2.073614, 0, 1
2.073666, 1, 1
2.073692, 0, 1
2.073718, 1, 1
2.110889, 1, 0
2.110915, 1, 1
2.110941, 1, 0
2.111123, 1, 1
2.111149, 1, 0
2.111227, 1, 1
2.111253, 1, 0
2.111383, 1, 1
2.111409, 1, 0
2.111435, 1, 1
2.111461, 1, 0
2.111565, 1, 1
2.111591, 1, 0
2.111617, 1, 1
2.111669, 1, 0
2.111903, 1, 1
2.111929, 1, 0
2.111955, 1, 1
2.111981, 1, 0
2.112007, 1, 1
2.112033, 1, 0
2.112085, 1, 1
2.112111, 1, 0
2.112137, 1, 1
2.161044, 1, 0
2.161070, 1, 1
2.161096, 1, 0
2.161278, 1, 1
2.161304, 1, 0
2.161356, 1, 1
2.161382, 1, 0
2.161408, 1, 1
2.161434, 1, 0
2.161538, 1, 1
2.161564, 1, 0
2.161720, 1, 1
2.161746, 1, 0
2.161798, 1, 1
2.161824, 1, 0
2.162058, 1, 1
2.162084, 1, 0
2.162136, 1, 1
2.162162, 1, 0
2.162318, 1, 1
2.162344, 1, 0
2.162448, 1, 1
2.162474, 1, 0
2.162526, 1, 1
2.162552, 1, 0
2.162578, 1, 1
2.162604, 1, 0
2.162656, 1, 1
2.162682, 1, 0
2.162838, 1, 1
2.162864, 1, 0
2.162890, 1, 1
2.162916, 1, 0
2.162994, 1, 1
2.163020, 1, 0
2.163072, 1, 1
2.163124, 1, 0
2.163150, 1, 1
2.163176, 1, 0
2.163358, 1, 1
2.163384, 1, 0
2.163618, 1, 1
2.163644, 1, 0
2.163748, 1, 1
2.163774, 1, 0
2.163878, 1, 1
2.212186, 1, 0
2.212212, 1, 1
2.212238, 1, 0
2.212420, 1, 1
2.212446, 1, 0
2.212524, 1, 1
2.212550, 1, 0
2.212576, 1, 1
2.212602, 1, 0
2.212680, 1, 1
2.212706, 1, 0
2.212758, 1, 1
2.212784, 1, 0
2.212862, 1, 1
2.212888, 1, 0
2.212940, 1, 1
2.212966, 1, 0
2.213200, 1, 1
2.213226, 1, 0
2.213252, 1, 1
2.213278, 1, 0
2.213304, 1, 1
2.213330, 1, 0
2.213408, 1, 1
2.213434, 1, 0
2.213460, 1, 1
2.213486, 1, 0
2.213538, 1, 1
2.213564, 1, 0
2.213616, 1, 1
2.213642, 1, 0
2.213720, 1, 1
2.213746, 1, 0
2.213824, 1, 1
2.213850, 1, 0
2.213928, 1, 1
2.213954, 1, 0
2.213980, 1, 1
2.214006, 1, 0
2.214032, 1, 1
2.214058, 1, 0
2.214110, 1, 1
2.214162, 1, 0
2.214240, 1, 1
2.214266, 1, 0
2.214500, 1, 1
2.214526, 1, 0
2.214578, 1, 1
2.214656, 1, 0
2.214682, 1, 1
2.214786, 1, 0
2.215020, 1, 1
2.215046, 1, 0
2.215280, 1, 1
2.215306, 1, 0
2.215540, 1, 1
2.215566, 1, 0
2.215618, 1, 1
2.215644, 1, 0
2.215800, 1, 1
2.215826, 1, 0
2.215878, 1, 1
2.215904, 1, 0
2.215930, 1, 1
2.216086, 1, 0
2.216112, 1, 1
2.216138, 1, 0
2.216216, 1, 1
2.216242, 1, 0
2.216294, 1, 1
2.216346, 1, 0
2.216372, 1, 1
2.216398, 1, 0
2.216580, 1, 1
2.216606, 1, 0
2.216736, 1, 1
2.216762, 1, 0
2.216814, 1, 1
2.216866, 1, 0
2.216892, 1, 1
2.216918, 1, 0
2.217100, 1, 1
2.217126, 1, 0
2.217360, 1, 1
2.217386, 1, 0
2.217412, 1, 1
2.217490, 1, 0
2.217516, 1, 1
7.079528, 0, 1
7.079554, 1, 1
7.079580, 0, 1
7.079762, 1, 1
7.079788, 0, 1
7.079814, 1, 1
7.079840, 0, 1
7.079867, 1, 1
7.079893, 0, 1
7.080023, 1, 1
7.080049, 0, 1
7.080075, 1, 1
7.080101, 0, 1
7.080205, 1, 1
7.080231, 0, 1
7.080283, 1, 1
7.080309, 0, 1
7.080544, 1, 1
7.080570, 0, 1
7.080622, 1, 1
7.080648, 0, 1
7.080726, 1, 1
7.080752, 0, 1
7.080804, 1, 1
7.080831, 0, 1
7.080935, 1, 1
7.080961, 0, 1
7.081013, 1, 1
7.081039, 0, 1
7.081065, 1, 1
7.111648, 1, 0
7.111674, 1, 1
7.111700, 1, 0
7.111882, 1, 1
7.111908, 1, 0
7.111986, 1, 1
7.112012, 1, 0
7.112142, 1, 1
7.112168, 1, 0
7.112194, 1, 1
7.112220, 1, 0
7.112324, 1, 1
7.112350, 1, 0
7.112376, 1, 1
7.112428, 1, 0
7.112662, 1, 1
7.112688, 1, 0
7.112714, 1, 1
7.112740, 1, 0
7.112766, 1, 1
7.112792, 1, 0
7.112844, 1, 1
7.112870, 1, 0
7.112896, 1, 1
7.162374, 1, 0
7.162400, 1, 1
7.162426, 1, 0
7.162608, 1, 1
7.162634, 1, 0
7.162686, 1, 1
7.162712, 1, 0
7.162738, 1, 1
7.162764, 1, 0
7.162868, 1, 1
7.162894, 1, 0
7.163050, 1, 1
7.163076, 1, 0
7.163128, 1, 1
7.163154, 1, 0
7.163388, 1, 1
7.163414, 1, 0
7.163466, 1, 1
7.163492, 1, 0
7.163648, 1, 1
7.163674, 1, 0
7.163778, 1, 1
