Time[s], Channel 0, Channel 1
0.000000, 1, 1
2.575888, 0, 1
2.575914, 1, 1
2.575940, 0, 1
2.576123, 1, 1
2.576149, 0, 1
2.576175, 1, 1
2.576201, 0, 1
2.576227, 1, 1
2.576253, 0, 1
2.576383, 1, 1
2.576409, 0, 1
2.576436, 1, 1
2.576462, 0, 1
2.576566, 1, 1
2.576592, 0, 1
2.576644, 1, 1
2.576670, 0, 1
2.576904, 1, 1
2.576931, 0, 1
2.576983, 1, 1
2.577009, 0, 1
2.577087, 1, 1
2.577113, 0, 1
2.577165, 1, 1
2.577191, 0, 1
2.577295, 1, 1
2.577321, 0, 1
2.577373, 1, 1
2.577400, 0, 1
2.577426, 1, 1
2.775910, 0, 1
2.776144, 1, 1
2.776170, 0, 1
2.776405, 1, 1
2.776431, 0, 1
2.776665, 1, 1
2.776691, 0, 1
2.776926, 1, 1
2.776952, 0, 1
2.777186, 1, 1
2.777212, 0, 1
2.777447, 1, 1
2.777473, 0, 1
2.777707, 1, 1
2.777733, 0, 1
2.777968, 1, 1
2.777994, 0, 1
2.778228, 1, 1
2.778254, 0, 1
2.778489, 1, 1
2.778515, 0, 1
2.778750, 1, 1
2.778776, 0, 1
2.779010, 1, 1
2.779036, 0, 1
2.779271, 1, 1
2.779297, 0, 1
2.779531, 1, 1
2.779557, 0, 1
2.779792, 1, 1
2.779818, 0, 1
2.780052, 1, 1
2.797014, 0, 1
2.797248, 1, 1
2.797274, 0, 1
2.797509, 1, 1
2.797535, 0, 1
2.797769, 1, 1
2.797795, 0, 1
2.798030, 1, 1
2.798056, 0, 1
2.798290, 1, 1
2.798317, 0, 1
2.798551, 1, 1
2.798577, 0, 1
2.798812, 1, 1
2.798838, 0, 1
2.799072, 1, 1
2.799098, 0, 1
2.799333, 1, 1
2.799359, 0, 1
2.799593, 1, 1
2.799619, 0, 1
2.799854, 1, 1
2.799880, 0, 1
2.800114, 1, 1
2.800140, 0, 1
2.800375, 1, 1
2.800401, 0, 1
2.800635, 1, 1
2.800661, 0, 1
2.800896, 1, 1
2.800922, 0, 1
2.801156, 1, 1
2.818040, 0, 1
2.818274, 1, 1
2.818300, 0, 1
2.818535, 1, 1
2.818561, 0, 1
2.818795, 1, 1
2.818821, 0, 1
2.819056, 1, 1
2.819082, 0, 1
2.819317, 1, 1
2.819343, 0, 1
2.819577, 1, 1
2.819603, 0, 1
2.819838, 1, 1
2.819864, 0, 1
2.820098, 1, 1
2.820124, 0, 1
2.820359, 1, 1
2.820385, 0, 1
2.820619, 1, 1
2.820645, 0, 1
2.820880, 1, 1
2.820906, 0, 1
2.821140, 1, 1
2.821166, 0, 1
2.821401, 1, 1
2.821427, 0, 1
2.821661, 1, 1
2.821688, 0, 1
2.821922, 1, 1
2.821948, 0, 1
2.822183, 1, 1
2.838910, 0, 1
2.839144, 1, 1
2.839170, 0, 1
2.839405, 1, 1
2.839431, 0, 1
2.839665, 1, 1
2.839691, 0, 1
2.839926, 1, 1
2.839952, 0, 1
2.840186, 1, 1
2.840212, 0, 1
2.840447, 1, 1
2.840473, 0, 1
2.840707, 1, 1
2.840733, 0, 1
2.840968, 1, 1
2.840994, 0, 1
2.841228, 1, 1
2.841255, 0, 1
2.841489, 1, 1
2.841515, 0, 1
2.841750, 1, 1
2.841776, 0, 1
2.842010, 1, 1
2.842036, 0, 1
2.842271, 1, 1
2.842297, 0, 1
2.842531, 1, 1
2.842557, 0, 1
2.842792, 1, 1
2.842818, 0, 1
2.843052, 1, 1
2.860040, 0, 1
2.860274, 1, 1
2.860300, 0, 1
2.860535, 1, 1
2.860561, 0, 1
2.860795, 1, 1
2.860822, 0, 1
2.861056, 1, 1
2.861082, 0, 1
2.861317, 1, 1
2.861343, 0, 1
2.861577, 1, 1
2.861603, 0, 1
2.861838, 1, 1
2.861864, 0, 1
2.862098, 1, 1
2.862124, 0, 1
2.862359, 1, 1
2.862385, 0, 1
2.862619, 1, 1
2.862645, 0, 1
2.862880, 1, 1
2.862906, 0, 1
2.863140, 1, 1
2.863166, 0, 1
2.863401, 1, 1
2.863427, 0, 1
2.863661, 1, 1
2.863688, 0, 1
2.863922, 1, 1
2.863948, 0, 1
2.864183, 1, 1
2.880910, 0, 1
2.881144, 1, 1
2.881170, 0, 1
2.881405, 1, 1
2.881431, 0, 1
2.881665, 1, 1
2.881691, 0, 1
2.881926, 1, 1
2.881952, 0, 1
2.882186, 1, 1
2.882212, 0, 1
2.882447, 1, 1
2.882473, 0, 1
2.882707, 1, 1
2.882733, 0, 1
2.882968, 1, 1
2.882994, 0, 1
2.883229, 1, 1
2.883255, 0, 1
2.883489, 1, 1
2.883515, 0, 1
2.883750, 1, 1
2.883776, 0, 1
2.884010, 1, 1
2.884036, 0, 1
2.884271, 1, 1
2.884297, 0, 1
2.884531, 1, 1
2.884557, 0, 1
2.884792, 1, 1
2.884818, 0, 1
2.885052, 1, 1
2.901910, 0, 1
2.902144, 1, 1
2.902170, 0, 1
2.902405, 1, 1
2.902431, 0, 1
2.902665, 1, 1
2.902691, 0, 1
2.902926, 1, 1
2.902952, 0, 1
2.903186, 1, 1
2.903212, 0, 1
2.903447, 1, 1
2.903473, 0, 1
2.903707, 1, 1
2.903733, 0, 1
2.903968, 1, 1
2.903994, 0, 1
2.904229, 1, 1
2.904255, 0, 1
2.904489, 1, 1
2.904515, 0, 1
2.904750, 1, 1
2.904776, 0, 1
2.905010, 1, 1
2.905036, 0, 1
2.905271, 1, 1
2.905297, 0, 1
2.905531, 1, 1
2.905557, 0, 1
2.905792, 1, 1
2.905818, 0, 1
2.906052, 1, 1
2.923040, 0, 1
2.923274, 1, 1
2.923300, 0, 1
2.923535, 1, 1
2.923561, 0, 1
2.923796, 1, 1
2.923822, 0, 1
2.924056, 1, 1
2.924082, 0, 1
2.924317, 1, 1
2.924343, 0, 1
2.924577, 1, 1
2.924603, 0, 1
2.924838, 1, 1
2.924864, 0, 1
2.925098, 1, 1
2.925124, 0, 1
2.925359, 1, 1
2.925385, 0, 1
2.925619, 1, 1
2.925645, 0, 1
2.925880, 1, 1
2.925906, 0, 1
2.926140, 1, 1
2.926166, 0, 1
2.926401, 1, 1
2.926427, 0, 1
2.926662, 1, 1
2.926688, 0, 1
2.926922, 1, 1
2.926948, 0, 1
2.927183, 1, 1
2.943910, 0, 1
