Time[s], Channel 0, Channel 1
0.000000, 1, 1
4.455815, 0, 1
4.455841, 1, 1
4.455867, 0, 1
4.456049, 1, 1
4.456075, 0, 1
4.456101, 1, 1
4.456127, 0, 1
4.456153, 1, 1
4.456179, 0, 1
4.456310, 1, 1
4.456336, 0, 1
4.456362, 1, 1
4.456388, 0, 1
4.456492, 1, 1
4.456518, 0, 1
4.456570, 1, 1
4.456596, 0, 1
4.456831, 1, 1
4.456857, 0, 1
4.456909, 1, 1
4.456935, 0, 1
4.457013, 1, 1
4.457039, 0, 1
4.457091, 1, 1
4.457117, 0, 1
4.457222, 1, 1
4.457248, 0, 1
4.457300, 1, 1
4.457326, 0, 1
4.457352, 1, 1
4.655732, 0, 1
4.655966, 1, 1
4.655992, 0, 1
4.656227, 1, 1
4.656253, 0, 1
4.656487, 1, 1
4.656513, 0, 1
4.656748, 1, 1
4.656774, 0, 1
4.657008, 1, 1
4.657034, 0, 1
4.657269, 1, 1
4.657295, 0, 1
4.657529, 1, 1
4.657556, 0, 1
4.657790, 1, 1
4.657816, 0, 1
4.658051, 1, 1
4.658077, 0, 1
4.658311, 1, 1
4.658337, 0, 1
4.658572, 1, 1
4.658598, 0, 1
4.658832, 1, 1
4.658858, 0, 1
4.659093, 1, 1
4.659119, 0, 1
4.659353, 1, 1
4.659379, 0, 1
4.659614, 1, 1
4.659640, 0, 1
4.659874, 1, 1
4.676732, 0, 1
4.676966, 1, 1
4.676992, 0, 1
4.677227, 1, 1
4.677253, 0, 1
4.677487, 1, 1
4.677513, 0, 1
4.677748, 1, 1
4.677774, 0, 1
4.678008, 1, 1
4.678034, 0, 1
4.678269, 1, 1
4.678295, 0, 1
4.678529, 1, 1
4.678556, 0, 1
4.678790, 1, 1
4.678816, 0, 1
4.679051, 1, 1
4.679077, 0, 1
4.679311, 1, 1
4.679337, 0, 1
4.679572, 1, 1
4.679598, 0, 1
4.679832, 1, 1
4.679858, 0, 1
4.680093, 1, 1
4.680119, 0, 1
4.680353, 1, 1
4.680379, 0, 1
4.680614, 1, 1
4.680640, 0, 1
4.680874, 1, 1
4.697732, 0, 1
4.697966, 1, 1
4.697992, 0, 1
4.698227, 1, 1
