Time[s], Channel 0, Channel 1
0.000000, 1, 1
1.798336, 0, 1
1.798362, 1, 1
1.798388, 0, 1
1.798571, 1, 1
1.798597, 0, 1
1.798623, 1, 1
1.798649, 0, 1
1.798675, 1, 1
1.798701, 0, 1
1.798831, 1, 1
1.798857, 0, 1
1.798883, 1, 1
1.798909, 0, 1
1.799014, 1, 1
1.799040, 0, 1
1.799092, 1, 1
1.799118, 0, 1
1.799352, 1, 1
1.799378, 0, 1
1.799430, 1, 1
1.799457, 0, 1
1.799535, 1, 1
1.799561, 0, 1
1.799613, 1, 1
1.799639, 0, 1
1.799743, 1, 1
1.799769, 0, 1
1.799821, 1, 1
1.799847, 0, 1
1.799873, 1, 1
1.835908, 1, 0
1.835934, 1, 1
1.835960, 1, 0
1.836142, 1, 1
1.836168, 1, 0
1.836246, 1, 1
1.836272, 1, 0
1.836402, 1, 1
1.836428, 1, 0
1.836454, 1, 1
1.836480, 1, 0
1.836584, 1, 1
1.836610, 1, 0
1.836636, 1, 1
1.836688, 1, 0
1.836922, 1, 1
1.836948, 1, 0
1.836974, 1, 1
1.837000, 1, 0
1.837026, 1, 1
1.837052, 1, 0
1.837104, 1, 1
1.837130, 1, 0
1.837156, 1, 1
1.886036, 1, 0
1.886062, 1, 1
1.886088, 1, 0
1.886270, 1, 1
1.886296, 1, 0
1.886348, 1, 1
1.886374, 1, 0
1.886400, 1, 1
1.886426, 1, 0
1.886530, 1, 1
1.886556, 1, 0
1.886712, 1, 1
1.886738, 1, 0
1.886790, 1, 1
1.886816, 1, 0
1.887050, 1, 1
1.887076, 1, 0
1.887154, 1, 1
1.887180, 1, 0
1.887206, 1, 1
1.887232, 1, 0
1.887310, 1, 1
1.887336, 1, 0
1.887440, 1, 1
1.887466, 1, 0
1.887544, 1, 1
1.887596, 1, 0
1.887622, 1, 1
1.887648, 1, 0
1.887674, 1, 1
1.887700, 1, 0
1.887830, 1, 1
1.887856, 1, 0
1.887882, 1, 1
1.888116, 1, 0
1.888142, 1, 1
1.888376, 1, 0
1.888610, 1, 1
1.888636, 1, 0
1.888662, 1, 1
1.888688, 1, 0
1.888740, 1, 1
1.888766, 1, 0
1.888818, 1, 1
1.937282, 1, 0
1.937308, 1, 1
1.937334, 1, 0
1.937516, 1, 1
1.937542, 1, 0
1.937620, 1, 1
1.937646, 1, 0
1.937672, 1, 1
1.937698, 1, 0
1.937776, 1, 1
1.937802, 1, 0
1.937854, 1, 1
1.937880, 1, 0
1.937958, 1, 1
1.937984, 1, 0
1.938036, 1, 1
1.938062, 1, 0
1.938296, 1, 1
1.938322, 1, 0
1.938348, 1, 1
1.938374, 1, 0
1.938400, 1, 1
1.938426, 1, 0
1.938504, 1, 1
1.938530, 1, 0
1.938556, 1, 1
1.938582, 1, 0
1.938634, 1, 1
1.938660, 1, 0
1.938712, 1, 1
1.938738, 1, 0
1.938816, 1, 1
1.938842, 1, 0
1.938920, 1, 1
1.938946, 1, 0
1.939024, 1, 1
1.939050, 1, 0
1.939076, 1, 1
1.939102, 1, 0
1.939128, 1, 1
1.939154, 1, 0
1.939206, 1, 1
1.939258, 1, 0
1.939336, 1, 1
1.939362, 1, 0
1.939596, 1, 1
1.939622, 1, 0
1.939674, 1, 1
1.939752, 1, 0
1.939778, 1, 1
1.939882, 1, 0
1.940116, 1, 1
1.940142, 1, 0
1.940376, 1, 1
1.940402, 1, 0
1.940636, 1, 1
1.940662, 1, 0
1.940688, 1, 1
